Country Name,Country Code,Rural Population Percent
Somalia,SOM,55.029
Serbia,SRB,43.908
Sub-Saharan Africa (excluding high income),SSA,59.82439626
South Sudan,SSD,80.385
Sub-Saharan Africa,SSF,59.82291426
Small states,SST,41.27738559
Sao Tome and Principe,STP,27.197
Suriname,SUR,33.94
Slovak Republic,SVK,46.274
Slovenia,SVN,45.459
Sweden,SWE,12.569
Eswatini,SWZ,76.201
Sint Maarten (Dutch part),SXM,0
Seychelles,SYC,43.309
Syrian Arab Republic,SYR,45.838
Turks and Caicos Islands,TCA,6.902
Chad,TCD,76.941
East Asia & Pacific (IDA & IBRD countries),TEA,44.4275459
Europe & Central Asia (IDA & IBRD countries),TEC,33.67081963
Togo,TGO,58.298
Thailand,THA,50.051
Tajikistan,TJK,72.866
Turkmenistan,TKM,48.407
Latin America & the Caribbean (IDA & IBRD countries),TLA,19.35576732
Timor-Leste,TLS,69.422
Middle East & North Africa (IDA & IBRD countries),TMN,38.58472266
Tonga,TON,76.869
South Asia (IDA & IBRD),TSA,66.00764801
Sub-Saharan Africa (IDA & IBRD countries),TSS,59.82291426
Trinidad and Tobago,TTO,46.816
Tunisia,TUN,31.055
Turkey,TUR,24.857
Tuvalu,TUV,37.613
Tanzania,TZA,66.224
Uganda,UGA,76.226
Ukraine,UKR,30.648
Upper middle income,UMC,34.03771895
Uruguay,URY,4.666
United States,USA,17.744
Uzbekistan,UZB,49.522
St. Vincent and the Grenadines,VCT,47.802
"Venezuela, RB",VEN,11.792
British Virgin Islands,VGB,52.277
Virgin Islands (U.S.),VIR,4.279
Vietnam,VNM,64.081
Vanuatu,VUT,74.726
World,WLD,44.72338219
Samoa,WSM,81.757
Kosovo,XKX,
"Yemen, Rep.",YEM,63.358
South Africa,ZAF,33.645
Zambia,ZMB,56.479
Zimbabwe,ZWE,67.791
